scope	component	version	license
jvm-outer	kotlin-logging-jvm	8.0.4	Apache-2.0
jvm-outer	kotlin-stdlib	2.4.10	Apache-2.0
jvm-outer	kotlinx-coroutines-core-jvm	1.11.0	Apache-2.0
jvm-analysis-worker	analysis-api-for-ide	2.4.10	Apache-2.0
jvm-analysis-worker	analysis-api-impl-base-for-ide	2.4.10	Apache-2.0
jvm-analysis-worker	analysis-api-k2-for-ide	2.4.10	Apache-2.0
jvm-analysis-worker	analysis-api-platform-interface-for-ide	2.4.10	Apache-2.0
jvm-analysis-worker	analysis-api-standalone-for-ide	2.4.10	Apache-2.0
jvm-analysis-worker	annotations	23.0.0	Apache-2.0
jvm-analysis-worker	caffeine	2.9.3	Apache-2.0
jvm-analysis-worker	checker-qual	3.19.0	MIT
jvm-analysis-worker	error_prone_annotations	2.10.0	Apache-2.0
jvm-analysis-worker	kotlin-build-tools-api	2.4.10	Apache-2.0
jvm-analysis-worker	kotlin-compiler	2.4.10	Apache-2.0
jvm-analysis-worker	kotlin-reflect	1.6.10	Apache-2.0
jvm-analysis-worker	kotlin-script-runtime	2.4.10	Apache-2.0
jvm-analysis-worker	kotlin-stdlib	2.4.10	Apache-2.0
jvm-analysis-worker	kotlin-stdlib-jdk7	2.4.10	Apache-2.0
jvm-analysis-worker	kotlin-stdlib-jdk8	2.4.10	Apache-2.0
jvm-analysis-worker	kotlinx-coroutines-core-jvm	1.8.0-intellij-13	Apache-2.0
jvm-analysis-worker	kotlinx-serialization-core-jvm	1.7.3	Apache-2.0
jvm-analysis-worker	low-level-api-fir-for-ide	2.4.10	Apache-2.0
jvm-analysis-worker	symbol-light-classes-for-ide	2.4.10	Apache-2.0
jvm-worker	annotations	13.0	Apache-2.0
jvm-worker	kotlin-build-tools-api	2.4.10	Apache-2.0
jvm-worker	kotlin-compiler-embeddable	2.4.10	Apache-2.0
jvm-worker	kotlin-daemon-embeddable	2.4.10	Apache-2.0
jvm-worker	kotlin-reflect	1.6.10	Apache-2.0
jvm-worker	kotlin-script-runtime	2.4.10	Apache-2.0
jvm-worker	kotlin-scripting-common	2.4.10	Apache-2.0
jvm-worker	kotlin-scripting-compiler-embeddable	2.4.10	Apache-2.0
jvm-worker	kotlin-scripting-compiler-impl-embeddable	2.4.10	Apache-2.0
jvm-worker	kotlin-scripting-jvm	2.4.10	Apache-2.0
jvm-worker	kotlin-stdlib	2.4.10	Apache-2.0
jvm-worker	kotlinx-coroutines-core-jvm	1.8.0	Apache-2.0
rust-native	block-buffer	0.10.4	Apache-2.0
rust-native	cfg-if	1.0.4	Apache-2.0
rust-native	cpufeatures	0.2.17	Apache-2.0
rust-native	crypto-common	0.1.7	Apache-2.0
rust-native	digest	0.10.7	Apache-2.0
rust-native	generic-array	0.14.7	MIT
rust-native	sha2	0.10.9	Apache-2.0
rust-native	typenum	1.20.1	Apache-2.0
rust-native	version_check	0.9.5	Apache-2.0
