path	category	origin	copyright	license	provenance	packaged
modules/minecraft/shared/neoforge/src/main/resources/assets/compukters/textures/block/compukter/back.png	original	Compukters	Copyright 2026 Vsevolod Petrov (lazyhat)	CC-BY-4.0	licenses/media/Compukters-textures-PROVENANCE.md	true
modules/minecraft/shared/neoforge/src/main/resources/assets/compukters/textures/block/compukter/front.png	original	Compukters	Copyright 2026 Vsevolod Petrov (lazyhat)	CC-BY-4.0	licenses/media/Compukters-textures-PROVENANCE.md	true
docs/assets/images/compukters-icon.svg	generated-derivative	Compukters front texture	Copyright 2026 Vsevolod Petrov (lazyhat)	CC-BY-4.0	licenses/media/Compukters-textures-PROVENANCE.md	false
docs/assets/images/boiler_showcase.png	original	Compukters in-game screenshot	Copyright 2026 lazyhat	All rights reserved	licenses/media/Boiler-showcase-PROVENANCE.md	false
modules/minecraft/shared/neoforge/src/main/resources/assets/compukters/textures/block/compukter/side.png	original	Compukters	Copyright 2026 Vsevolod Petrov (lazyhat)	CC-BY-4.0	licenses/media/Compukters-textures-PROVENANCE.md	true
modules/minecraft/shared/neoforge/src/main/resources/assets/compukters/textures/font/terminal/cozette.png	generated-derivative	Cozette v.1.30.0	Copyright Ines	MIT	tools/fonts/cozette/v.1.30.0/PROVENANCE.md	true
modules/minecraft/shared/neoforge/src/main/resources/assets/compukters/textures/font/terminal/dina.png	generated-derivative	Dina v2.92 Regular 6pt	Copyright Jørgen Ibsen	MIT	tools/fonts/dina/v2.92/PROVENANCE.md	true
modules/minecraft/shared/neoforge/src/main/resources/assets/compukters/textures/font/terminal/proggy_tiny.png	generated-derivative	ProggyTiny commit 139ec08a	Copyright Tristan Grimmer	MIT	tools/fonts/proggy/139ec08a/PROVENANCE.md	true
modules/minecraft/shared/neoforge/src/main/resources/assets/compukters/textures/gui/ide_toolbar.png	generated-derivative	Material Symbols Sharp commit 0cbb08816df07faaae3dca060d4ebb10b66c214f	Copyright Google LLC	Apache-2.0	modules/minecraft/shared/neoforge/src/main/resources/META-INF/licenses/Material-Symbols-PROVENANCE.txt	true
tools/fonts/cozette/v.1.30.0/cozette.bdf	third-party	Cozette v.1.30.0	Copyright Ines	MIT	tools/fonts/cozette/v.1.30.0/PROVENANCE.md	false
tools/fonts/dina/v2.92/Dina_r400-6.bdf	third-party	Dina v2.92 Regular 6pt	Copyright Jørgen Ibsen	MIT	tools/fonts/dina/v2.92/PROVENANCE.md	false
tools/fonts/proggy/139ec08a/ProggyTiny.bdf	third-party	ProggyTiny commit 139ec08a	Copyright Tristan Grimmer	MIT	tools/fonts/proggy/139ec08a/PROVENANCE.md	false
